Ticker,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
CTKB,CTKB,Health Care Equipment,814085568,9.87,4.66,7.265,6.19
CTRE,CTRE,Health Care REITs,5125075456,33.15,20.1,26.625,27.21
CTS,CTS,Electronic Manufacturing Services,1572029184,59.68,40.09,49.885000000000005,52.83
CUBI,CUBI,Regional Banks,1495675136,68.49,42.31,55.4,46.98
CURB,CURB,Retail REITs,2364495360,25.35,18.8,22.075000000000003,21.64
CVBF,CVBF,Regional Banks,3072915968,24.58,15.71,20.145,21.29
CVCO,CVCO,Homebuilding,3690966784,544.08,304.1,424.09000000000003,442.22
CVI,CVI,Oil & Gas Refining & Marketing,1810563328,38.07,15.6,26.835,17.95
CWEN,CWEN,Renewable Electricity,5147092480,30.92,20.63,25.775,25.92
CWEN.A,CWEN.A,Renewable Electricity,N/A,N/A,N/A,N/A,N/A
CWK,CWK,Real Estate Services,3003984896,16.11,9.24,12.675,12.95
CWT,CWT,Water Utilities,2735771904,56.25,43.5,49.875,45.92
CXM,CXM,Application Software,2314885376,14.315,6.91,10.6125,9.15
CXW,CXW,Diversified Support Services,2299150336,24.99,10.74,17.865,21.0
DAN,DAN,Auto Parts & Equipment,1665808768,15.07,7.58,11.325,11.51
DCOM,DCOM,Regional Banks,1367322624,37.6,17.29,27.445,31.41
DEA,DEA,Office REITs,1190409216,14.525,10.86,12.692499999999999,10.93
DEI,DEI,Office REITs,3585589504,20.5,12.36,16.43,17.84
DFH,DFH,Homebuilding,2240624384,44.38,22.952,33.666000000000004,23.7
DFIN,DFIN,Financial Exchanges & Data,1772470528,71.01,56.02,63.515,60.71
DGII,DGII,Communications Equipment,1133297664,34.82,20.17,27.495,32.25
DIOD,DIOD,Semiconductors,2852253440,86.74,52.71,69.725,62.3
DLX,DLX,Commercial Printing,984613696,24.87,18.48,21.675,22.4
DNOW,DNOW,Trading Companies & Distributors,1364354944,15.645,9.44,12.5425,13.25
DOCN,DOCN,Internet Services & Infrastructure,3294478336,44.8,26.63,35.714999999999996,35.45
DORM,DORM,Auto Parts & Equipment,4008778752,146.6,79.2,112.9,130.36
DRH,DRH,Hotel & Resort REITs,1945335680,10.0,7.74,8.870000000000001,9.23
DRQ,DRQ,Oil & Gas Equipment & Services,N/A,N/A,N/A,N/A,N/A
DV,DV,Application Software,3346593024,43.0,16.115,29.557499999999997,19.69
DVAX,DVAX,Biotechnology,1672107648,15.01,9.74,12.375,12.76
DXC,DXC,IT Consulting & Other Services,3729094400,24.83,14.79,19.81,21.49
DXPE,DXPE,Trading Companies & Distributors,1238013696,82.33,30.08,56.205,78.88
DY,DY,Construction & Engineering,5069604352,207.2,107.53,157.365,169.4
EAT,EAT,Restaurants,5964916224,136.15,37.25,86.7,131.33
ECG,ECG,Construction & Engineering,3419717888,71.42,40.05,55.735,64.6
ECPG,ECPG,Consumer Finance,1109463680,54.55,39.64,47.095,47.41
EFC,EFC,Specialized Finance,1099726336,13.46,10.88,12.170000000000002,12.05
EGBN,EGBN,Regional Banks,806682048,31.38,15.99,23.685,26.55
EIG,EIG,Property & Casualty Insurance,1255825024,54.44,38.38,46.41,50.54
ELME,ELME,Diversified REITs,1318394368,18.49,12.74,15.614999999999998,14.87
EMBC,EMBC,Health Care Equipment,1176006272,21.48,9.925,15.7025,19.97
ENR,ENR,Household Products,2548190720,39.515,26.918,33.216499999999996,35.6
ENVA,ENVA,Consumer Finance,2528102400,108.15,53.17,80.66,94.99
EPAC,EPAC,Industrial Machinery,2402312704,51.91,28.25,40.08,44.87
EPC,EPC,Household Products,1662537856,41.5,33.27,37.385000000000005,34.41
EPRT,EPRT,Diversified REITs,5545685504,34.879,23.58,29.229499999999998,30.82
ESE,ESE,Industrial Machinery,3490077952,154.0,96.69,125.345,133.46
ETD,ETD,Home Furnishings,716617408,35.62,26.53,31.075,28.31
ETSY,ETSY,Broadline Retail,6390670848,85.22,47.1,66.16,57.14
EVTC,EVTC,Transaction & Payment Processing Services,2138069888,42.21,28.76,35.485,33.6
EXPI,EXPI,Real Estate Services,1966988416,16.48,8.91,12.695,11.6
EXTR,EXTR,Communications Equipment,2344074752,19.24,10.5,14.87,17.72
EYE,EYE,Specialty Stores,911135168,24.11,9.56,16.835,11.07
EZPW,EZPW,Consumer Finance,641602368,12.85,8.2,10.524999999999999,11.74
FBK,FBK,Regional Banks,2402164992,58.875,33.35,46.1125,51.04
FBNC,FBNC,Regional Banks,1847569408,50.34,29.53,39.935,43.55
FBP,FBP,Regional Banks,3011930368,22.4,15.15,18.775,18.31
FBRT,FBRT,Mortgage REITs,1036926784,14.5,11.99,13.245000000000001,12.43
FCF,FCF,Regional Banks,1723186176,19.96,12.41,16.185000000000002,16.79
FCPT,FCPT,Specialized REITs,2630402560,30.93,22.38,26.655,26.74
FDP,FDP,Packaged Foods & Meats,1597424128,35.27,21.23,28.25,33.03
FELE,FELE,Industrial Machinery,4494269440,111.94,91.45,101.695,98.72
FFBC,FFBC,Regional Banks,2607810048,31.18,20.59,25.884999999999998,26.82
FHB,FHB,Regional Banks,3258535168,28.8,19.48,24.14,25.2
FIZZ,FIZZ,Soft Drinks,4247294208,53.58,42.85,48.215,45.9
FL,FL,Apparel Retail,2126460160,35.6,19.33,27.465,22.28
FLGT,FLGT,Health Care Services,560961920,30.6,16.56,23.58,18.75
FORM,FORM,Semiconductor Equipment,3321081856,63.63,37.21,50.42,42.44
FOXF,FOXF,Automotive Parts & Equipment,1245083136,70.13,28.93,49.53,29.68
FSS,FSS,Construction Machinery & Heavy Trucks,5609567744,102.18,71.29,86.73500000000001,91.77
FTDR,FTDR,Specialized Consumer Services,4252985344,60.42,29.41,44.915,55.41
FTRE,FTRE,Biotechnology,1727622016,41.02,16.53,28.775000000000002,18.5
FUL,FUL,Specialty Chemicals,3723383296,87.67,67.76,77.715,69.05
FULT,FULT,Regional Banks,3567689984,22.49,13.87,18.18,19.4
FWRD,FWRD,Air Freight & Logistics,837650816,66.07,11.21,38.64,30.87
GBX,GBX,Construction Machinery & Heavy Trucks,1955246080,69.12,41.4,55.260000000000005,62.14
GDEN,GDEN,Casinos & Gaming,853590528,40.85,27.42,34.135000000000005,30.82
GDOT,GDOT,Consumer Finance,572829376,13.58,7.7,10.64,10.68
GEO,GEO,Environmental & Facilities Services,3846668288,29.86,10.46,20.16,28.0
GES,GES,Apparel Retail,740977920,33.5,13.83,23.665,14.12
GFF,GFF,Building Products,3483346944,86.73,55.01,70.87,72.0
GIII,GIII,"Apparel, Accessories & Luxury Goods",1440800384,36.18,20.66,28.42,33.67
GKOS,GKOS,Health Care Equipment,8319131136,151.12,74.745,112.9325,143.74
GMS,GMS,Building Products,3338521344,105.54,77.01,91.275,85.44
GNL,GNL,Diversified REITs,1666900864,10.185,6.52,8.3525,7.02
