Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
LGIH,"LGI Homes, Inc.",Consumer Cyclical,2045439360,130.75,84.0,102.71175,89.4
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,2048639232,129.9,67.53,96.8527,107.15
LKFN,Lakeland Financial Corporation,Financial Services,1716305536,78.61,57.45,65.1084,68.76
LMAT,"LeMaitre Vascular, Inc.",Healthcare,2056611456,109.58,52.88,84.76325,92.14
LNC,Lincoln National Corporation,Financial Services,5423721472,36.98,25.1,31.52545,31.71
LNN,Lindsay Corporation,Industrials,1267666816,135.2,109.27,120.0033,118.31
LPG,Dorian LPG Ltd.,Energy,1085522176,51.659,22.461,36.2436,24.37
LQDT,"Liquidity Services, Inc.",Consumer Cyclical,982488704,36.0,13.99,21.79635,32.29
LRN,"Stride, Inc.",Consumer Defensive,4635626496,112.8,54.81,79.24685,103.93
LTC,"LTC Properties, Inc.",Real Estate,1540225024,39.89,30.3,35.3887,34.55
LUMN,"Lumen Technologies, Inc.",Communication Services,5693084160,10.33,0.97,4.067,5.31
LXP,LXP Industrial Trust,Real Estate,2365633536,10.57,8.0,9.31435,8.12
LZB,La-Z-Boy Incorporated,Consumer Cyclical,1791564288,46.47,32.0,39.502,43.57
MAC,The Macerich Company,Real Estate,5215301120,22.27,12.99,16.88955,19.92
MARA,"MARA Holdings, Inc.",Financial Services,5840764416,34.09,13.17,19.1946,16.77
MATV,"Mativ Holdings, Inc.",Basic Materials,582479808,19.96,10.69,16.4659,10.9
MATW,Matthews International Corporation,Industrials,827185600,35.7,21.09,26.2257,27.68
MATX,"Matson, Inc.",Industrials,4577016320,169.12,100.5,130.3411,134.84
MBC,"MasterBrand, Inc.",Consumer Cyclical,1854432768,20.67,13.366,16.70345,14.61
MC,Moelis & Company,Financial Services,5237703680,81.6,46.24,63.44965,73.88
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,1429568640,89.06,64.5,74.1836,78.9
MCW,"Mister Car Wash, Inc. Common Stock",Consumer Cyclical,2342757376,9.45,5.84,7.06535,7.3
MCY,Mercury General Corporation,Financial Services,3640649728,80.72,37.08,60.88535,66.48
MD,"Pediatrix Medical Group, Inc.",Healthcare,1119022848,16.41,6.62,10.48895,13.12
MDU,"MDU Resources Group, Inc.",Industrials,3657750784,20.39,10.409972,15.13037,18.02
MGEE,"MGE Energy, Inc.",Utilities,3365849088,109.22,61.94,86.39815,93.96
MGPI,"MGP Ingredients, Inc.",Consumer Defensive,860130304,97.19,38.24,72.0063,39.37
MGY,Magnolia Oil & Gas Corporation,Energy,4638816256,29.02,19.16,25.53415,23.38
MHO,"M/I Homes, Inc.",Consumer Cyclical,3555434496,176.18,109.92,143.22955,132.95
MLAB,"Mesa Laboratories, Inc.",Technology,716784512,141.17,83.68,114.7369,131.87
MLKN,"MillerKnoll, Inc.",Consumer Cyclical,1549998976,31.73,20.89,26.1951,22.59
MMI,"Marcus & Millichap, Inc.",Real Estate,1452394624,42.8,29.93,36.30625,38.26
MMSI,"Merit Medical Systems, Inc.",Healthcare,5598901760,108.08,70.7,89.36615,96.72
MNRO,"Monro, Inc.",Consumer Cyclical,734958272,33.98,21.0,26.7889,24.8
MODG,Topgolf Callaway Brands Corp.,Consumer Cyclical,1654416000,16.89,7.22,12.52305,7.86
MOG.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MP,MP Materials Corp.,Basic Materials,2674962688,24.01,10.02,15.863,15.6
MPW,"Medical Properties Trust, Inc.",Real Estate,2413607936,6.55,2.92,4.71235,3.95
MRCY,"Mercury Systems, Inc.",Industrials,2523647488,44.63,25.31,33.99115,42.0
MRTN,"Marten Transport, Ltd.",Industrials,1255110528,20.96,15.33,17.2793,15.61
MSEX,Middlesex Water Company,Utilities,917400192,70.73,45.42,58.59195,52.63
MSGS,Madison Square Garden Sports Corp.,Communication Services,5352581632,237.992,176.27,202.6141,225.68
MTH,Meritage Homes Corporation,Consumer Cyclical,10999321600,156.215,73.885,89.7045,153.82
