Symbol,Current Stock Price,Predicted Short Position,Difference
MRVL,$92.69,$54.79,"$37.90
"
CMCSA,$43.19,$37.89,"$5.30
"
BKR,$43.95,$30.15,"$13.80
"
FANG,$177.59,$152.98,"$24.61
"
MAR,$289.09,$211.05,"$78.04
"
LIN,$460.99,$407.33,"$53.66
"
LULU,$320.66,$261.19,"$59.47
"
TTD,$128.55,$70.34,"$58.21
"
PANW,$387.82,$276.01,"$111.81
"
NFLX,$886.81,$489.87,"$396.94
"
MRNA,$43.06,$49.44,"$-6.38
"
TSLA,$345.16,$163.09,"$182.07
"
GOOGL,$168.95,$135.34,"$33.61
"
PAYX,$146.27,$119.34,"$26.93
"
ILMN,$144.15,$98.49,"$45.66
"
META,$574.32,$344.84,"$229.48
"
CRWD,$345.97,$228.26,"$117.71
"
ORLY,$1243.22,$952.96,"$290.26
"
SNPS,$558.49,$480.29,"$78.20
"
GOOG,$170.49,$136.89,"$33.60
"
AVGO,$162.08,$99.92,"$62.16
"
REGN,$750.22,$784.87,"$-34.65
"
AMGN,$282.87,$270.23,"$12.64
"
ADP,$306.93,$237.14,"$69.79
"
ON,$71.12,$63.24,"$7.88
"
QCOM,$158.53,$136.76,"$21.77
"
DASH,$180.48,$97.28,"$83.20
"
ROST,$154.87,$130.46,"$24.41
"
CSX,$36.55,$32.39,"$4.16
"
TEAM,$263.58,$149.24,"$114.34
"
DDOG,$152.75,$110.83,"$41.92
"
HON,$232.93,$193.33,"$39.60
"
TTWO,$188.38,$140.08,"$48.30
"
ARM,$134.29,$73.54,"$60.75
"
AAPL,$237.33,$172.44,"$64.89
"
CEG,$256.56,$128.06,"$128.50
"
DLTR,$66.40,$70.13,"$-3.73
"
TMUS,$246.94,$155.11,"$91.83
"
CTSH,$80.49,$66.15,"$14.34
"
MU,$97.95,$81.99,"$15.96
"
AEP,$99.86,$78.84,"$21.02
"
CDW,$175.93,$182.65,"$-6.72
"
ASML,$686.61,$704.78,"$-18.17
"
APP,$336.75,$66.59,"$270.16
"
LRCX,$73.88,$74.58,"$-0.70
"
CSCO,$59.21,$46.16,"$13.05
"
UAL,$96.83,$44.42,"$52.41
"
TROW,$123.84,$100.31,"$23.53
"
ISRG,$542.00,$333.64,"$208.36
"
NVR,$9235.58,$6488.90,"$2746.68
"
TPR,$62.28,$33.75,"$28.53
"
DVN,$37.95,$39.39,"$-1.44
"
CE,$73.21,$82.21,"$-9.00
"
BA,$155.44,$150.72,"$4.72
"
VRTX,$468.13,$363.95,"$104.18
"
GILD,$92.58,$66.62,"$25.96
"
EQIX,$981.48,$721.38,"$260.10
"
TER,$110.00,$98.71,"$11.29
"
PODD,$266.78,$174.23,"$92.55
"
MDT,$86.54,$78.36,"$8.18
"
V,$315.08,$258.38,"$56.70
"
QRVO,$69.05,$71.79,"$-2.74
"
A,$137.97,$127.68,"$10.29
"
FOX,$44.73,$27.93,"$16.80
"
MO,$57.74,$41.77,"$15.97
"
CTRA,$26.72,$23.22,"$3.50
"
SWKS,$87.59,$86.95,"$0.64
"
ENPH,$71.35,$67.30,"$4.05
"
MCHP,$68.17,$66.49,"$1.68
"
CDNS,$306.81,$254.81,"$52.00
"
MSCI,$609.63,$464.62,"$145.01
"
CHTR,$396.97,$269.87,"$127.10
"
EIX,$87.75,$66.83,"$20.92
"
KDP,$32.65,$29.84,"$2.81
"
BBY,$90.00,$72.75,"$17.25
"
GEN,$30.85,$20.79,"$10.06
"
WBA,$9.02,$10.08,"$-1.06
"
LVS,$53.06,$39.59,"$13.47
"
HCA,$327.22,$264.27,"$62.95
"
AJG,$312.24,$229.57,"$82.67
"
DTE,$125.78,$105.18,"$20.60
"
C,$70.87,$47.45,"$23.42
"
T,$23.16,$16.80,"$6.36
"
CF,$89.66,$71.52,"$18.14
"
MGM,$38.34,$35.51,"$2.83
"
HUM,$296.38,$266.36,"$30.02
"
CBOE,$215.85,$172.92,"$42.93
"
CFG,$48.14,$28.61,"$19.53
"
APH,$72.65,$47.89,"$24.76
"
SYY,$77.11,$70.48,"$6.63
"
MSI,$499.70,$328.19,"$171.51
"
FCX,$44.20,$38.09,"$6.11
"
ADM,$54.60,$53.89,"$0.71
"
LH,$241.16,$197.88,"$43.28
"
SOLV,$71.51,$50.74,"$20.77
"
BLDR,$186.47,$140.34,"$46.13
"
LNT,$63.20,$49.03,"$14.17
"
BAC,$47.51,$31.38,"$16.13
"
PSX,$133.98,$123.47,"$10.51
"
GPN,$118.96,$96.89,"$22.07
"
HUBB,$460.09,$313.55,"$146.54
"
PPG,$124.37,$121.56,"$2.81
"
TECH,$75.36,$63.91,"$11.45
"
IRM,$123.67,$69.70,"$53.97
"
IQV,$200.84,$198.02,"$2.82
"
ESS,$310.46,$222.34,"$88.12
"
WBD,$10.48,$7.29,"$3.19
"
HAL,$31.86,$28.85,"$3.01
"
STZ,$240.95,$233.81,"$7.14
"
BG,$89.74,$85.83,"$3.91
"
PARA,$10.85,$10.31,"$0.54
"
ADI,$218.05,$187.21,"$30.84
"
F,$11.13,$10.20,"$0.93
"
ADBE,$515.93,$458.71,"$57.22
"
STLD,$145.27,$112.37,"$32.90
"
SMCI,$32.64,$27.92,"$4.72
"
CPRT,$63.39,$48.48,"$14.91
"
TDG,$1252.97,$1001.79,"$251.18
"
TFX,$192.85,$194.30,"$-1.45
"
ULTA,$386.64,$346.13,"$40.51
"
ARE,$110.23,$107.33,"$2.90
"
SYK,$392.15,$298.29,"$93.86
"
KVUE,$24.08,$18.36,"$5.72
"
CB,$288.73,$226.92,"$61.81
"
TSN,$64.50,$48.69,"$15.81
"
GNRC,$188.20,$118.55,"$69.65
"
PEP,$163.45,$159.36,"$4.09
"
PEG,$94.30,$60.97,"$33.33
"
NOW,$1049.44,$686.12,"$363.31
"
LLY,$795.35,$609.24,"$186.11
"
COST,$971.88,$630.12,"$341.76
"
REG,$75.59,$59.03,"$16.56
"
NWS,$32.09,$23.82,"$8.27
"
LOW,$272.43,$207.25,"$65.18
"
MDLZ,$64.95,$65.20,"$-0.25
"
BKNG,$5201.98,$3339.90,"$1862.08
"
ZBRA,$407.00,$246.09,"$160.91
"
FMC,$59.09,$52.64,"$6.45
"
XEL,$72.56,$50.91,"$21.65
"
AIZ,$227.10,$170.81,"$56.29
"
MET,$88.23,$64.99,"$23.24
"
FTV,$79.33,$68.98,"$10.35
"
DLR,$195.69,$137.12,"$58.57
"
ACGL,$100.72,$77.49,"$23.23
"
FAST,$83.56,$62.11,"$21.45
"
TJX,$125.69,$91.53,"$34.16
"
SNA,$369.69,$266.36,"$103.33
"
MPC,$156.15,$149.33,"$6.82
"
BR,$236.02,$191.33,"$44.69
"
D,$58.75,$45.83,"$12.92
"
MRK,$101.64,$99.87,"$1.77
"
STX,$101.33,$79.74,"$21.59
"
NOC,$489.65,$435.47,"$54.18
"
BXP,$81.99,$57.06,"$24.93
"
KHC,$31.97,$31.39,"$0.58
"
IPG,$30.81,$27.75,"$3.06
"
ABNB,$136.11,$118.76,"$17.35
"
UNP,$244.66,$223.59,"$21.07
"
ALLE,$140.84,$109.00,"$31.84
"
ABBV,$182.93,$144.64,"$38.29
"
ORCL,$184.84,$109.71,"$75.13
"
ECL,$248.77,$194.66,"$54.11
"
ETR,$156.17,$103.20,"$52.97
"
EBAY,$63.29,$43.32,"$19.97
"
SBUX,$102.46,$75.53,"$26.93
"
IR,$104.17,$72.95,"$31.22
"
AMT,$209.00,$178.18,"$30.82
"
INTU,$641.73,$575.74,"$65.99
"
DPZ,$476.19,$386.65,"$89.54
"
PAYC,$231.92,$145.09,"$86.83
"
PG,$179.26,$147.47,"$31.79
"
CAT,$406.11,$264.45,"$141.66
"
ODFL,$225.14,$175.97,"$49.17
"
MCD,$296.01,$252.81,"$43.20
"
MNST,$55.13,$46.59,"$8.54
"
AMZN,$207.89,$152.08,"$55.81
"
GEHC,$83.22,$70.10,"$13.12
"
EG,$387.56,$354.34,"$33.22
"
INTC,$24.05,$22.12,"$1.93
"
PNR,$108.99,$68.38,"$40.61
"
GLW,$48.67,$29.82,"$18.85
"
BDX,$221.90,$226.06,"$-4.16
"
KMI,$28.27,$17.78,"$10.49
"
CSGP,$81.34,$73.86,"$7.48
"
PWR,$344.52,$198.11,"$146.41
"
APTV,$55.53,$55.71,"$-0.18
"
DXCM,$77.99,$71.60,"$6.39
"
EXR,$170.96,$132.38,"$38.58
"
WELL,$138.18,$91.36,"$46.82
"
HOLX,$79.50,$69.91,"$9.59
"
EXPD,$121.64,$113.31,"$8.33
"
GM,$55.59,$31.40,"$24.19
"
TXN,$201.03,$159.35,"$41.68
"
VRSK,$294.21,$224.82,"$69.39
"
FI,$220.96,$135.46,"$85.50
"
SJM,$117.79,$109.61,"$8.18
"
TMO,$529.63,$499.78,"$29.85
"
OXY,$50.58,$51.47,"$-0.89
"
RL,$231.40,$137.09,"$94.31
"
DECK,$195.96,$120.17,"$75.79
"
CCI,$106.25,$95.79,"$10.46
"
MMM,$133.53,$82.44,"$51.09
"
MOS,$26.46,$25.85,"$0.61
"
FTNT,$95.05,$55.55,"$39.50
"
HSY,$176.13,$174.70,"$1.43
"
JNPR,$35.92,$28.48,"$7.44
"
DHI,$168.78,$133.06,"$35.72
"
ED,$100.59,$88.40,"$12.19
"
ES,$64.49,$54.34,"$10.15
"
ADSK,$291.90,$211.43,"$80.47
"
GL,$111.24,$57.11,"$54.13
"
INVH,$34.25,$31.98,"$2.27
"
IP,$58.83,$35.62,"$23.21
"
EXPE,$184.62,$117.74,"$66.88
"
KO,$64.08,$59.16,"$4.92
"
PCAR,$117.00,$94.27,"$22.73
"
RVTY,$116.14,$91.73,"$24.41
"
WDC,$72.99,$49.94,"$23.05
"
PYPL,$86.77,$58.96,"$27.81
"
NEE,$78.67,$58.02,"$20.65
"
UPS,$135.72,$127.26,"$8.46
"
ELV,$406.96,$410.98,"$-4.02
"
EMR,$132.60,$92.87,"$39.73
"
MSFT,$423.46,$376.15,"$47.31
"
ANSS,$351.10,$287.65,"$63.45
"
CTAS,$225.79,$145.58,"$80.21
"
UDR,$45.86,$34.67,"$11.19
"
CTLT,$61.11,$39.58,"$21.53
"
WEC,$101.05,$78.43,"$22.62
"
UBER,$71.96,$58.39,"$13.57
"
AME,$194.38,$157.11,"$37.27
"
IT,$517.93,$426.56,"$91.37
"
DD,$83.59,$64.04,"$19.55
"
ACN,$362.37,$292.27,"$70.10
"
VRSN,$187.18,$173.47,"$13.71
"
EW,$71.35,$63.28,"$8.07
"
CMG,$61.52,$46.23,"$15.29
"
AWK,$136.94,$117.36,"$19.58
"
COO,$104.46,$85.72,"$18.74
"
SHW,$397.40,$284.69,"$112.71
"
HPQ,$35.43,$28.79,"$6.64
"
AMAT,$174.71,$155.72,"$18.99
"
CCL,$25.43,$15.06,"$10.37
"
MLM,$600.00,$475.46,"$124.54
"
AVY,$205.95,$193.72,"$12.23
"
EVRG,$64.63,$50.23,"$14.40
"
EA,$163.67,$128.94,"$34.73
"
DE,$465.90,$357.25,"$108.65
"
VLTO,$108.19,$77.35,"$30.84
"
SPG,$183.60,$127.87,"$55.73
"
AMD,$137.18,$126.44,"$10.74
"
KLAC,$647.03,$565.47,"$81.56
"
NDAQ,$82.99,$57.15,"$25.84
"
URI,$866.00,$498.08,"$367.92
"
RTX,$121.83,$84.24,"$37.59
"
NXPI,$229.37,$208.77,"$20.60
"
PNC,$214.72,$137.19,"$77.53
"
KMX,$83.97,$65.52,"$18.45
"
MTCH,$32.74,$30.27,"$2.47
"
BIIB,$160.63,$166.63,"$-6.00
"
NVDA,$138.25,$55.83,"$82.42
"
CHRW,$105.58,$72.25,"$33.33
"
ROP,$566.44,$517.31,"$49.13
"
IDXX,$421.75,$429.15,"$-7.40
"
EXC,$39.56,$34.36,"$5.20
"
HES,$147.18,$130.12,"$17.06
"
HD,$429.13,$322.05,"$107.08
"
ALB,$107.70,$80.82,"$26.88
"
VLO,$139.08,$127.16,"$11.92
"
AON,$391.54,$287.93,"$103.61
"
ZTS,$175.25,$150.92,"$24.33
"
FDX,$302.67,$243.91,"$58.76
"
DG,$77.27,$82.07,"$-4.80
"
TYL,$629.17,$425.27,"$203.90
"
HIG,$123.31,$81.87,"$41.44
"
CMS,$69.71,$57.24,"$12.47
"
CAG,$27.55,$27.11,"$0.44
"
INCY,$74.59,$54.06,"$20.53
"
SCHW,$82.76,$58.50,"$24.26
"
HSIC,$77.05,$65.58,"$11.47
"
AZO,$3169.54,$2595.97,"$573.57
"
AXP,$304.68,$178.58,"$126.10
"
HPE,$21.22,$15.60,"$5.62
"
DFS,$182.43,$96.87,"$85.56
"
HRL,$32.43,$29.53,"$2.90
"
SO,$89.13,$69.01,"$20.12
"
FRT,$116.65,$94.79,"$21.86
"
ZBH,$112.10,$104.85,"$7.25
"
CME,$238.00,$197.79,"$40.21
"
XOM,$117.96,$99.71,"$18.25
"
AMP,$573.97,$367.75,"$206.22
"
CVX,$161.93,$140.75,"$21.18
"
CMCSA,$43.19,$37.88,"$5.31
"
PCG,$21.63,$16.60,"$5.03
"
PNW,$93.70,$68.77,"$24.93
"
ICE,$160.96,$118.00,"$42.96
"
BEN,$22.76,$20.23,"$2.53
"
UHS,$205.00,$145.03,"$59.97
"
BKR,$43.95,$30.06,"$13.89
"
EMN,$104.72,$85.23,"$19.49
"
SBAC,$226.25,$192.98,"$33.27
"
ROK,$295.14,$254.11,"$41.03
"
PTC,$200.06,$159.30,"$40.76
"
NRG,$101.61,$51.36,"$50.25
"
NSC,$275.85,$215.94,"$59.91
"
NKE,$78.77,$76.23,"$2.54
"
FIS,$85.30,$58.99,"$26.31
"
AMTM,$24.35,$23.09,"$1.26
"
FANG,$177.59,$153.01,"$24.58
"
VTR,$64.07,$44.16,"$19.91
"
MAS,$80.56,$61.80,"$18.76
"
RF,$27.26,$17.08,"$10.18
"
AMCR,$10.64,$9.09,"$1.55
"
TAP,$62.06,$51.39,"$10.67
"
MAR,$289.09,$211.40,"$77.69
"
XYL,$126.75,$106.96,"$19.79
"
CMI,$375.04,$239.99,"$135.05
"
MTD,$1251.20,$1114.19,"$137.01
"
CPAY,$381.18,$247.32,"$133.86
"
KR,$61.08,$45.44,"$15.64
"
PLD,$116.78,$105.35,"$11.43
"
IBM,$227.41,$163.20,"$64.21
"
USB,$53.29,$38.60,"$14.69
"
BSX,$90.66,$58.45,"$32.21
"
LKQ,$39.29,$38.45,"$0.84
"
LIN,$460.99,$407.43,"$53.56
"
ITW,$277.52,$235.66,"$41.86
"
EOG,$133.26,$112.14,"$21.12
"
KMB,$139.35,$121.07,"$18.28
"
SPGI,$522.51,$423.42,"$99.09
"
NEM,$41.94,$32.90,"$9.04
"
LULU,$320.66,$261.14,"$59.52
"
WFC,$76.17,$46.21,"$29.96
"
CTVA,$62.24,$45.90,"$16.34
"
EL,$72.12,$72.11,"$0.01
"
GS,$608.57,$363.94,"$244.63
"
GD,$284.01,$251.25,"$32.76
"
CNP,$32.62,$26.31,"$6.31
"
PM,$133.06,$92.86,"$40.20
"
MCO,$499.98,$380.30,"$119.68
"
CLX,$167.17,$132.30,"$34.87
"
CAH,$122.24,$96.92,"$25.32
"
PANW,$387.82,$275.97,"$111.85
"
DELL,$127.59,$78.90,"$48.69
"
MPWR,$567.64,$583.77,"$-16.13
"
DGX,$162.66,$127.74,"$34.92
"
AVB,$235.35,$177.52,"$57.83
"
DIS,$117.47,$89.14,"$28.33
"
SW,$55.02,$40.63,"$14.39
"
CBRE,$139.99,$85.03,"$54.96
"
GE,$182.16,$104.20,"$77.96
"
HII,$197.92,$196.15,"$1.77
"
LDOS,$165.40,$115.43,"$49.97
"
ALL,$207.39,$143.07,"$64.32
"
ERIE,$440.56,$312.73,"$127.83
"
ETN,$375.42,$241.93,"$133.49
"
ALGN,$232.77,$216.60,"$16.17
"
NFLX,$886.81,$490.06,"$396.75
"
LEN,$174.39,$132.62,"$41.77
"
FITB,$48.06,$29.31,"$18.75
"
WST,$325.68,$290.80,"$34.88
"
GWW,$1205.34,$821.04,"$384.30
"
TRGP,$204.30,$93.61,"$110.69
"
NTRS,$111.16,$79.71,"$31.45
"
FICO,$2375.03,$1179.21,"$1195.82
"
AXON,$646.96,$266.43,"$380.53
"
CVS,$59.85,$55.96,"$3.89
"
AOS,$74.49,$73.51,"$0.98
"
FE,$42.55,$36.66,"$5.89
"
JPM,$249.72,$164.11,"$85.61
"
ABT,$118.77,$102.16,"$16.61
"
OMC,$104.82,$82.00,"$22.82
"
COF,$192.01,$114.77,"$77.24
"
TSCO,$283.67,$208.55,"$75.12
"
PH,$702.90,$452.88,"$250.02
"
HST,$18.42,$16.41,"$2.01
"
JBHT,$189.11,$161.06,"$28.05
"
MRNA,$43.06,$49.99,"$-6.93
"
TSLA,$345.16,$160.68,"$184.48
"
MOH,$297.90,$289.39,"$8.51
"
ATO,$151.32,$114.99,"$36.33
"
COP,$108.34,$105.45,"$2.89
"
DHR,$239.69,$224.81,"$14.88
"
CNC,$60.00,$59.68,"$0.32
"
MCK,$628.50,$458.56,"$169.94
"
TXT,$85.63,$77.03,"$8.60
"
MTB,$219.99,$135.33,"$84.66
"
FDS,$490.67,$406.39,"$84.28
"
VTRS,$13.09,$9.55,"$3.54
"
AKAM,$94.02,$90.27,"$3.75
"
ROL,$50.33,$41.13,"$9.20
"
RMD,$249.02,$162.79,"$86.23
"
WRB,$64.55,$48.06,"$16.49
"
GOOGL,$168.95,$135.49,"$33.46
"
BRO,$113.10,$74.50,"$38.60
"
ANET,$405.82,$232.36,"$173.46
"
PAYX,$146.27,$119.42,"$26.85
"
DRI,$176.27,$141.81,"$34.46
"
META,$574.32,$354.88,"$219.44
"
COR,$251.55,$205.20,"$46.35
"
MAA,$164.16,$126.66,"$37.50
"
MMC,$233.23,$190.00,"$43.23
"
FOXA,$47.12,$30.32,"$16.80
"
POOL,$377.09,$308.45,"$68.64
"
CZR,$38.49,$33.55,"$4.94
"
FFIV,$250.35,$174.04,"$76.31
"
CRWD,$345.97,$228.29,"$117.68
"
CINF,$159.83,$106.61,"$53.22
"
VMC,$288.13,$219.45,"$68.68
"
MKTX,$258.69,$203.69,"$55.00
"
SRE,$93.67,$69.23,"$24.44
"
LHX,$246.25,$195.50,"$50.75
"
ORLY,$1243.22,$957.27,"$285.95
"
IVZ,$18.09,$14.28,"$3.81
"
RCL,$244.06,$117.94,"$126.12
"
SNPS,$558.49,$479.89,"$78.60
"
GOOG,$170.49,$136.83,"$33.66
"
EPAM,$243.92,$184.53,"$59.39
"
NDSN,$260.99,$230.45,"$30.54
"
YUM,$138.94,$126.17,"$12.77
"
EQT,$45.44,$30.95,"$14.49
"
LYV,$138.25,$87.47,"$50.78
"
PFE,$26.21,$25.46,"$0.75
"
AVGO,$162.08,$99.83,"$62.25
"
DUK,$117.05,$93.63,"$23.42
"
TPL,$1600.09,$620.77,"$979.32
"
REGN,$750.22,$786.93,"$-36.71
"
CL,$96.63,$79.53,"$17.10
"
VZ,$44.34,$37.81,"$6.53
"
JCI,$83.86,$55.70,"$28.16
"
DAY,$79.99,$51.40,"$28.59
"
FSLR,$199.27,$155.85,"$43.42
"
AMGN,$282.87,$270.69,"$12.18
"
TEL,$151.12,$132.19,"$18.93
"
JBL,$135.83,$103.53,"$32.30
"
VST,$159.84,$48.02,"$111.82
"
JKHY,$176.18,$157.07,"$19.11
"
ADP,$306.93,$236.89,"$70.04
"
ON,$71.12,$62.95,"$8.17
"
STT,$98.51,$72.57,"$25.94
"
RSG,$218.30,$165.85,"$52.45
"
IFF,$91.36,$76.33,"$15.03
"
CARR,$77.37,$54.75,"$22.62
"
TRMB,$72.97,$47.10,"$25.87
"
QCOM,$158.53,$136.64,"$21.89
"
LYB,$83.34,$84.14,"$-0.80
"
GIS,$66.26,$63.61,"$2.65
"
PHM,$135.27,$93.70,"$41.57
"
ROST,$154.87,$130.06,"$24.81
"
LUV,$32.36,$24.81,"$7.55
"
LW,$77.24,$58.81,"$18.43
"
MS,$131.61,$82.68,"$48.93
"
CPB,$46.20,$40.97,"$5.23
"
OKE,$113.60,$71.16,"$42.44
"
BK,$81.87,$49.82,"$32.05
"
J,$141.23,$106.99,"$34.24
"
SYF,$67.52,$33.09,"$34.43
"
CHD,$110.13,$93.40,"$16.73
"
HWM,$118.38,$58.94,"$59.44
"
MHK,$138.83,$91.91,"$46.92
"
TFC,$47.68,$33.12,"$14.56
"
DAL,$63.82,$38.96,"$24.86
"
APA,$22.65,$23.35,"$-0.70
"
K,$81.29,$54.59,"$26.70
"
AFL,$114.00,$80.11,"$33.89
"
CSX,$36.55,$32.40,"$4.15
"
NI,$38.09,$26.42,"$11.67
"
CPT,$125.80,$92.91,"$32.89
"
PFG,$87.09,$74.55,"$12.54
"
NCLH,$26.89,$15.75,"$11.14
"
RJF,$169.28,$109.58,"$59.70
"
HBAN,$18.01,$11.56,"$6.45
"
UNH,$610.20,$456.70,"$153.50
"
PRU,$129.41,$99.15,"$30.26
"
PLTR,$67.08,$21.88,"$45.20
"
GPC,$126.73,$117.75,"$8.98
"
WTW,$322.00,$244.21,"$77.79
"
WMB,$58.52,$35.45,"$23.07
"
EQR,$76.66,$58.68,"$17.98
"
DVA,$166.17,$106.06,"$60.11
"
AIG,$76.88,$66.23,"$10.65
"
MA,$532.94,$420.47,"$112.47
"
HON,$232.93,$194.72,"$38.21
"
VICI,$32.61,$27.84,"$4.77
"
O,$57.89,$52.19,"$5.70
"
NWSA,$29.35,$22.57,"$6.78
"
TTWO,$188.38,$142.37,"$46.01
"
AES,$13.04,$13.49,"$-0.45
"
SLB,$43.94,$41.18,"$2.76
"
DOC,$21.99,$16.87,"$5.12
"
TT,$416.22,$242.27,"$173.95
"
TGT,$132.31,$127.58,"$4.73
"
AAPL,$237.33,$172.89,"$64.44
"
MKC,$78.41,$66.33,"$12.08
"
OTIS,$102.98,$86.45,"$16.53
"
CEG,$256.56,$128.11,"$128.45
"
TDY,$485.26,$375.26,"$110.00
"
WY,$32.26,$27.95,"$4.31
"
APD,$334.33,$227.32,"$107.01
"
GRMN,$212.60,$128.99,"$83.61
"
AEE,$94.39,$70.62,"$23.77
"
BX,$191.09,$115.98,"$75.11
"
HLT,$253.44,$176.00,"$77.44
"
DLTR,$71.27,$70.16,"$1.11
"
STE,$219.06,$202.41,"$16.65
"
HAS,$65.15,$48.34,"$16.81
"
TMUS,$246.94,$158.30,"$88.64
"
WMT,$92.50,$55.01,"$37.49
"
NTAP,$122.64,$83.78,"$38.86
"
KIM,$25.57,$18.47,"$7.10
"
BAX,$33.71,$32.88,"$0.83
"
LMT,$529.41,$440.71,"$88.70
"
KKR,$162.87,$77.41,"$85.46
"
KEY,$19.48,$12.58,"$6.90
"
KEYS,$170.84,$125.09,"$45.75
"
BMY,$59.22,$41.77,"$17.45
"
PSA,$348.05,$266.68,"$81.37
"
WYNN,$94.38,$76.94,"$17.44
"
EFX,$261.56,$220.39,"$41.17
"
NUE,$154.69,$144.09,"$10.60
"
PKG,$248.85,$164.16,"$84.69
"
GDDY,$197.57,$105.54,"$92.03
"
WAB,$200.62,$121.88,"$78.74
"
CTSH,$80.49,$66.04,"$14.45
"
GEV,$334.12,$145.37,"$188.75
"
SWK,$89.45,$80.98,"$8.47
"
CRL,$199.06,$188.17,"$10.89
"
MU,$97.95,$81.24,"$16.71
"
TRV,$266.04,$185.82,"$80.22
"
L,$86.73,$69.75,"$16.98
"
AEP,$99.86,$78.84,"$21.02
"
CI,$337.80,$268.43,"$69.37
"
DOW,$44.21,$45.27,"$-1.06
"
CDW,$175.93,$182.37,"$-6.44
"
BALL,$62.16,$55.40,"$6.76
"
JNJ,$155.01,$146.68,"$8.33
"
WM,$228.22,$174.32,"$53.90
"
DOV,$205.90,$146.04,"$59.86
"
CRM,$329.99,$229.91,"$100.08
"
PGR,$268.88,$165.11,"$103.77
"
WAT,$384.72,$286.74,"$97.98
"
IEX,$230.63,$196.09,"$34.54
"
BWA,$34.32,$30.92,"$3.40
"
LRCX,$73.88,$73.85,"$0.03
"
BLK,$1022.80,$764.09,"$258.71
"
PPL,$34.93,$26.40,"$8.53
"
AEIS,$118.39,$92.73,"$25.66
"
EFC,$12.27,$11.14,"$1.13
"
CTKB,$6.80,$5.17,"$1.63
"
CHCO,$127.35,$99.59,"$27.76
"
HAFC,$25.52,$15.75,"$9.77
"
EVTC,$35.66,$30.85,"$4.81
"
ATGE,$87.92,$48.70,"$39.22
"
IPAR,$137.38,$114.18,"$23.20
"
BOOT,$148.49,$80.19,"$68.30
"
FORM,$42.89,$39.08,"$3.81
"
AL,$50.22,$39.49,"$10.73
"
CSR,$70.07,$25.75,"$44.32
"
HCC,$63.41,$53.99,"$9.42
"
ICUI,$161.31,$94.33,"$66.98
"
KRYS,$184.40,$111.74,"$72.66
"
ABCB,$67.89,$45.12,"$22.77
"
HUBG,$50.25,$38.96,"$11.29
"
CORT,$59.26,$25.19,"$34.07
"
CASH,$82.64,$51.41,"$31.23
"
LBRT,$17.42,$17.50,"$-0.08
"
CSWI,$398.41,$198.14,"$200.27
"
AESI,$22.70,$16.62,"$6.08
"
DNOW,$14.76,$10.12,"$4.64
"
