Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
CDNS,"Cadence Design Systems, Inc.",Technology,77948346368,328.99,233.51,281.25,252.77,Software - Application,77878517760.0,75.04354,16.967846,2.45,Not Available,3.79,4353906176.0,0.23868,1447492992.0,Not Available
CDW,CDW Corporation,Technology,29470873600,263.37,185.04,224.205,218.5,Information Technology Services,29467533312.0,27.068098,13.551508,2.78,0.0114,8.15,20942899200.0,0.05294,1987399936.0,Not Available
CHTR,"Charter Communications, Inc.",Communication Services,46809767936,424.87,236.08,330.475,329.67,Telecom Services,46587805696.0,10.420817,3.617361,1.68,Not Available,31.32,54658998272.0,0.08507,21283999744.0,Not Available
CTAS,Cintas Corporation,Industrials,84317724672,215.37,125.6225,170.49625,208.59,Specialty Business Services,84354023424.0,52.818184,20.97473,3.85,0.0075,3.96,9755872256.0,0.16795,2450383872.0,Not Available
CSCO,"Cisco Systems, Inc.",Technology,222499635200,57.06,44.5,50.78,55.28,Communication Equipment,222738808832.0,22.0,4.9259524,4.16,0.028900001,2.54,53802999808.0,0.19181,15281999872.0,Not Available
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,36328325120,82.32,57.48,69.89999999999999,77.49,Beverages - Non-Alcoholic,36306939904.0,20.207672,4.12446,2.2,0.026700001,3.78,19153000448.0,0.08416,2948000000.0,Not Available
CTSH,Cognizant Technology Solutions Corporation,Technology,37655035904,80.27,62.14,71.205,74.98,Information Technology Services,37697294336.0,17.27335,2.7117007,2.59,0.016,4.39,19264999424.0,0.11394,3459000064.0,Not Available
CMCSA,Comcast Corporation,Communication Services,163787374592,47.11,36.43,41.77,41.84,Telecom Services,163400138752.0,11.2220745,1.9680504,1.38,0.0296,3.76,121113001984.0,0.1246,37513998336.0,Not Available
CEG,Constellation Energy Corporation,Utilities,82921996288,288.753,109.44,199.0965,266.98,Utilities - Renewable,82890727424.0,35.204514,7.2673187,2.17,0.0053,7.53,23544000512.0,0.10155,5585999872.0,Not Available
CPRT,"Copart, Inc.",Industrials,50500116480,58.58,42.84,50.71,51.85,Specialty Business Services,50432679936.0,37.392857,6.700371,1.5,Not Available,1.4,4236823040.0,0.32171002,1754322944.0,Not Available
CSGP,"CoStar Group, Inc.",Real Estate,30361636864,100.38,68.26,84.32,74.31,Real Estate Services,30334990336.0,176.17859,4.04499,7.92,Not Available,0.42,2666899968.0,0.06577,170300000.0,Not Available
COST,Costco Wholesale Corporation,Consumer Defensive,393449701376,923.83,549.06,736.4449999999999,890.96,Discount Stores,392749645824.0,53.495472,16.628273,5.06,0.0052,16.57,254453006336.0,0.02895,11521999872.0,Not Available
CRWD,"CrowdStrike Holdings, Inc.",Technology,76300369920,398.327,172.58,285.4535,301.32,Software - Infrastructure,76055240704.0,449.66666,26.657787,3.95,Not Available,0.69,3516257024.0,0.0484,187490000.0,Not Available
CSX,CSX Corporation,Industrials,65025339392,40.12,29.28,34.7,33.26,Railroads,64976867328.0,17.827127,4.9985085,2.13,0.014400001,1.88,14680999936.0,0.24971001,7191000064.0,Not Available
DDOG,"Datadog, Inc.",Technology,43320664064,138.61,77.81,108.21,126.37,Software - Application,43219517440.0,272.7447,17.93369,5.11,Not Available,0.47,2393716992.0,0.06813,89060000.0,Not Available
DXCM,"DexCom, Inc.",Healthcare,28161898496,142.0,62.34,102.17,72.1,Medical Devices,27825987584.0,43.17576,14.059601,2.62,Not Available,1.65,3953999872.0,0.17218,840400000.0,Not Available
FANG,"Diamondback Energy, Inc.",Energy,51671891968,214.5,145.7,180.1,178.19,Oil & Gas E&P,51531378688.0,9.111283,1.7997873,1.68,0.060399998,19.32,8846000128.0,0.3934,6733000192.0,Not Available
DLTR,"Dollar Tree, Inc.",Consumer Defensive,14122824704,151.22,60.82,106.02,66.26,Discount Stores,14043277312.0,Not Available,1.9029307,1.73,Not Available,-4.81,30966300672.0,-0.0344,2604699904.0,Not Available
DASH,"DoorDash, Inc.",Communication Services,64002854912,155.9,72.65,114.275,153.37,Internet Content & Information,63729176576.0,Not Available,8.932568,Not Available,Not Available,-1.01,9610000384.0,-0.04235,-129000000.0,Not Available
EA,Electronic Arts Inc.,Communication Services,38443741184,153.51,121.63,137.57,144.18,Electronic Gaming & Multimedia,38417321984.0,34.21412,5.209774,1.46,0.0053,4.25,7297999872.0,0.15771,1796999936.0,Not Available
EXC,Exelon Corporation,Utilities,39579779072,41.48,33.35,37.415,40.23,Utilities - Regulated Electric,39604789248.0,16.357437,1.5144037,3.46,0.0378,2.42,22749999104.0,0.10646,7094000128.0,Not Available
FAST,Fastenal Company,Industrials,44392935424,79.04,58.04,68.54,76.67,Industrial Distribution,44461682688.0,38.611942,12.360249,5.97,0.020299999,2.01,7480099840.0,0.15439999,1693200000.0,Not Available
FTNT,"Fortinet, Inc.",Technology,61341798400,83.77,44.12,63.94499999999999,80.755,Software - Infrastructure,61162045440.0,47.313606,212.09549,2.59,Not Available,1.69,5537299968.0,0.23709999,1558700032.0,Not Available
GEHC,GE HealthCare Technologies Inc.,Healthcare,39364263936,94.55,65.77,80.16,85.93,Health Information Services,39186165760.0,24.800577,5.0231223,1.87,0.0014,3.46,19517999104.0,0.08095,3534000128.0,Not Available
GILD,"Gilead Sciences, Inc.",Healthcare,109173170176,89.74,62.07,75.905,88.76,Drug Manufacturers - General,109297672192.0,107.060974,5.983506,3.9,0.0347,0.82,27804999680.0,0.03791,13461999616.0,Not Available
GFS,GlobalFoundries Inc.,Technology,22799425536,62.61,37.94,50.275,40.24,Semiconductors,22766319616.0,28.260273,2.0233424,3.6,Not Available,1.46,6887000064.0,0.118190005,2412000000.0,Not Available
HON,Honeywell International Inc.,Industrials,134184968192,222.98,179.18,201.08,206.1,Conglomerates,134458064896.0,23.877598,7.7248955,2.41,0.0219,8.66,37850001408.0,0.15015,9164000256.0,Not Available
IDXX,"IDEXX Laboratories, Inc.",Healthcare,37115023360,583.39,372.5,477.945,449.44,Diagnostics & Research,37062758400.0,44.71748,23.502348,3.96,Not Available,10.07,3784801024.0,0.22343001,1265662976.0,Not Available
ILMN,"Illumina, Inc.",Healthcare,23279304704,151.4,86.575874,118.987937,144.03,Diagnostics & Research,23241869312.0,Not Available,16.155464,0.47,Not Available,-19.16,4429000192.0,-0.68728995,635000000.0,Not Available
INTC,Intel Corporation,Technology,97257627648,51.28,18.51,34.895,22.92,Semiconductors,97193476096.0,94.708336,0.8434763,5.62,0.0224,0.24,55120998400.0,0.017690001,10588999680.0,Not Available
INTU,Intuit Inc.,Technology,174475460608,676.62,481.94,579.28,612.09,Software - Application,174219689984.0,59.708454,9.449149,2.23,0.0068,10.41,16284999680.0,0.18195,4496000000.0,Not Available
ISRG,"Intuitive Surgical, Inc.",Healthcare,182509682688,523.34,260.17,391.755,510.88,Medical Instruments & Supplies,182317350912.0,82.16212,11.700153,4.33,Not Available,6.23,7866899968.0,0.28513,2505100032.0,Not Available
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,44830674944,38.28,28.62,33.45,33.86,Beverages - Non-Alcoholic,44742504448.0,19.870483,1.791884,2.52,0.0272,1.66,15148000256.0,0.15038,4230000128.0,Not Available
KLAC,KLA Corporation,Technology,92036153344,896.32,453.5,674.9100000000001,674.35,Semiconductor Equipment & Materials,92095102976.0,33.862072,27.433455,1.66,0.0086,20.3,9812246528.0,0.28147,4035056128.0,Not Available
KHC,The Kraft Heinz Company,Consumer Defensive,42118303744,38.96,31.075,35.0175,35.13,Packaged Foods,42215030784.0,22.381413,0.8633138,3.33,0.045500003,1.56,26317000704.0,0.07303,6493000192.0,Not Available
